sp,model,rcp,scen,dispersal,year,hs_change,area_km2,sd_hsc,sd_area
Abies magnifica,mean,rcp45,cnrm,nd_change_prop,2055,0.18466641258712305,17253.925263598947,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp45,cnrm,fd_change_prop,2055,1.4580801005434183,35800.39907951462,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp45,cnrm,nd_change_prop,2085,0.12537670816990598,16390.40780581814,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp45,cnrm,fd_change_prop,2085,1.1363029245720555,31113.915790419494,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp45,hades,nd_change_prop,2055,0.06907828886818884,15570.456544627856,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp45,hades,fd_change_prop,2055,0.9657135337313272,28629.38802036056,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp45,hades,nd_change_prop,2085,-0.03962313666287107,13987.288276977111,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp45,hades,fd_change_prop,2085,0.593834726217224,23213.20580755324,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp85,cnrm,nd_change_prop,2055,0.16308632243766555,16939.624749408344,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp85,cnrm,fd_change_prop,2055,1.4564741105692909,35777.008840124625,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp85,cnrm,nd_change_prop,2085,-0.23718690140354248,11109.895624148696,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp85,cnrm,fd_change_prop,2085,0.261189467325224,18368.43568895161,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp85,hades,nd_change_prop,2055,-0.22841634883981432,11237.63323605968,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp85,hades,fd_change_prop,2055,0.30764849135543276,19045.082312777467,0.5650998725553985,8122.181437028923
Abies magnifica,mean,rcp85,hades,nd_change_prop,2085,-0.3977275587218133,8771.721372133437,0.21352453080620093,3069.0574965636565
Abies magnifica,mean,rcp85,hades,fd_change_prop,2085,-0.1202056643671218,12813.65416716497,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp45,cnrm,nd_change_prop,2055,0.1821820644911613,16688.25096258728,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp45,cnrm,fd_change_prop,2055,1.498161700857187,35265.25284155191,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp45,cnrm,nd_change_prop,2085,0.12122866721532818,15827.803472040032,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp45,cnrm,fd_change_prop,2085,1.156885358288854,30447.631746255025,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp45,hades,nd_change_prop,2055,0.06060905361061836,14972.067832432016,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp45,hades,fd_change_prop,2055,1.006634107384304,28326.612778151277,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp45,hades,nd_change_prop,2085,-0.0439073344107752,13496.664199274284,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp45,hades,fd_change_prop,2085,0.6311052583635581,23025.46681731555,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp85,cnrm,nd_change_prop,2055,0.15793262423208512,16345.934193537065,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp85,cnrm,fd_change_prop,2055,1.4757553125866365,34948.95348136405,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp85,cnrm,nd_change_prop,2085,-0.25283139277783656,10547.39164399114,0.21352453080620093,3069.0574965636565
