species,model_ID,model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd,n.trees,shrinkage,n.minobsinnode,size,decay,mtry,C,sigma,regmult,classes,used_in_meanthr
Abies concolor,1,meanw,max_sens_spec,0.52431686,6090,6622,0.919730129201076,0.07772112481127287,0.7765434070528698,0.03076622082590891,0.8497795573815776,0.03908820857377899,0.7402637385121492,0.05755049147978331,1.4805274770242984,0.11510098295956664,0.08026987079892389,0.07772112481127287,0.696273536253946,0.08612424687529831,0.908880594039734,0.03699270390139392,0.9815095992055732,0.01602990673868296,0.759006138805919,0.06538100036454664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,1,meanthr,max_sens_spec,0.38133784,6090,6622,0.91449248582538,0.07885068995876612,0.775577932988244,0.04396902056962749,0.8475665301368748,0.04152782508233438,0.7371050819548524,0.06095259811456142,1.4742101639097047,0.12190519622912284,0.08550751417462013,0.07885068995876612,0.6900704188136237,0.08404635787585839,0.8993033856531529,0.03430711528570957,0.9567823326345926,0.0274451507349171,0.7711066999750444,0.05207673440399476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,1,mean,max_sens_spec,0.53702082,6090,6622,0.9260084464522516,0.06548877160304623,0.7703875413246957,0.03010250753530973,0.8508309430364496,0.03693661409531476,0.741703400235991,0.05457453874831382,1.483406800471982,0.10914907749662764,0.07399155354774833,0.06548877160304623,0.6963959877769473,0.08629536447025574,0.9087681201342556,0.03711083048037181,0.9797086560685694,0.01665226630843285,0.7589507733681846,0.06551832216979847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,1,meansup,max_sens_spec,0.4780051,6090,6622,0.9167203115335604,0.07394392240390789,0.7784283098500671,0.02164839820196161,0.8482776398751017,0.03720137448771083,0.7378512192312962,0.0545577351494778,1.4757024384625923,0.1091154702989556,0.08327968846643954,0.07394392240390789,0.6951486213836274,0.08682208133165616,0.909932729870667,0.03616269286851278,0.9885176724575532,0.01124165977752065,0.7620784720321635,0.06188323770870872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,1,median,max_sens_spec,0.54106597,6090,6622,0.920889321162868,0.07636727982068758,0.7716281402527212,0.03329681283799519,0.8482899023530316,0.03796247892622827,0.737926471377805,0.05576201785867776,1.47585294275561,0.11152403571735552,0.07911067883713196,0.07636727982068758,0.6925174614155892,0.08640655180554356,0.9082666621646118,0.03556644036210155,0.9739144225124746,0.03191381557173971,0.766652812659213,0.06219890081812691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,2,gam,max_sens_spec,0.51005589,6090,6622,0.920884168115614,0.07611435237116182,0.7449866335994675,0.04772506169001432,0.8385427289972881,0.03928744932143419,0.7234118633256624,0.05665616435717862,1.4468237266513249,0.11331232871435724,0.0791158318843859,0.07611435237116182,0.6658708017150816,0.0968237150218771,0.8947369884203766,0.0409681797493265,0.9672762022261532,0.03234731562552884,0.7674834266954744,0.06254680021753185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,3,gbm,max_sens_spec,0.42681595,6090,6622,0.9178659619213092,0.05582243267482677,0.7533020077776069,0.03851938538540814,0.8400246182665554,0.03574349088657757,0.7253744600939426,0.05192855870225305,1.4507489201878851,0.10385711740450612,0.0821340380786908,0.05582243267482677,0.6711679696989161,0.08899369840860091,0.8937944020599304,0.03750640171360581,0.9619622016722676,0.03622730866562995,0.766960865988524,0.05583591510457078,100,1.1,4,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,4,glm,max_sens_spec,0.49566775,6090,6622,0.9250357990595406,0.0645124783566171,0.7258622861683944,0.06461636899172468,0.83149198733765906,0.04190928532661161,0.7131837821981022,0.05946414657153871,1.4263675643962044,0.11892829314307744,0.07496420094045941,0.0645124783566171,0.650898085227935,0.11419030449104596,0.8858097520110932,0.04623994042778216,0.9090295589641356,0.10945466704178454,0.7487009986131998,0.06672208735742859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies concolor,5,net,max_sens_spec,0.65693416,6090,6622,0.9005992378105742,0.07256622712600302,0.7750978888148028,0.0464602129001242,0.8381389518091824,0.03331495652812621,0.7224130055762171,0.0482134230848474,1.4448260111524345,0.0964268461696948,0.0994007621894258,0.07256622712600302,0.675697126625377,0.09538215539012712,0.9006250821928848,0.03899098943532898,0.962819826027754,0.01889386880116502,0.7522019942333638,0.05572740533723102,NA,NA,NA,3,3,NA,NA,NA,NA,NA,y
Abies concolor,6,raf,max_sens_spec,0.516,6090,6622,0.8854317755412406,0.08916407823980041,0.787066443614242,0.04445731677249606,0.8332458050770497,0.05406971933576987,0.7168005506861741,0.07605659712084993,1.4336011013723482,0.15211319424169986,0.1145682244587594,0.08916407823980041,0.6724982191554827,0.12447044814423504,0.9031147729590976,0.05394996783836785,0.9862782567399696,0.01727446215900479,0.761667601211292,0.07388089652975681,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,y
