species,model,unres,occ,ratio
Abies magnifica,mean,29274.3712212301,21021.0605267176,0.718070436692177
Abies magnifica,meansup,26010.7791348808,19984.5681984228,0.768318707209474
Abies magnifica,meanthr,22499.1105965419,19989.3802457426,0.888452019468489
Abies magnifica,meanw,34709.2941975243,20787.0515632173,0.598890068029673
Abies magnifica,median,26175.6075083015,20340.1022615028,0.777063235497095
Adenostoma sparsifolium,mean,70129.2424097904,5475.57763664274,0.0780783799808783
Adenostoma sparsifolium,meansup,101109.148529307,5793.42069353061,0.0572986794746011
Adenostoma sparsifolium,meanthr,53376.009371381,4869.34342786536,0.0912271914894445
Adenostoma sparsifolium,meanw,77068.3698664932,5612.77504249844,0.0728285164487266
Adenostoma sparsifolium,median,45518.7643591186,4773.69888630174,0.10487320896147
Aesculus californica,mean,101041.50407025,63937.5646480657,0.632785163249474
Aesculus californica,meansup,100877.206352049,73388.5559941366,0.727503849958133
Aesculus californica,meanthr,84677.3449430277,54494.97761401,0.643560301172352
Aesculus californica,meanw,142867.341934399,73221.2353963215,0.51251205772375
Aesculus californica,median,95525.0843491905,69562.1008420715,0.728207688231798
Arctostaphylos glandulosa,mean,163641.047815513,36888.5911016498,0.225423826075947
Arctostaphylos glandulosa,meansup,173910.654559401,22515.3436181294,0.129465004172238
Arctostaphylos glandulosa,meanthr,129195.694424109,34860.3659241856,0.269826065640777
Arctostaphylos glandulosa,meanw,211583.335886955,36841.789379147,0.174124248607324
Arctostaphylos glandulosa,median,111770.109477715,34464.5914048821,0.308352488567203
Arctostaphylos glauca,mean,118410.250110612,71620.7860049999,0.604852923949539
Arctostaphylos glauca,meansup,146959.843670772,38879.3176254782,0.264557423676756
Arctostaphylos glauca,meanthr,73923.8901104274,58500.3835331561,0.791359646330412
Arctostaphylos glauca,meanw,122744.520882364,67704.0844682713,0.551585390382986
Arctostaphylos glauca,median,85011.0327210397,67602.4587905155,0.795219827670489
Arctostaphylos pringlei,mean,166336.826513626,3052.69333471029,0.0183524803177618
Arctostaphylos pringlei,meansup,157024.575753136,3528.00157269101,0.0224678306295029
Arctostaphylos pringlei,meanthr,122556.724156893,2663.69964495775,0.0217344226788223
Arctostaphylos pringlei,meanw,149390.404719324,3199.95137275545,0.0214200595999961
Arctostaphylos pringlei,median,112496.243442137,3063.33746148373,0.027230575597481
Arctostaphylos rudis,mean,48385.9820915011,869.337574696156,0.0179667237724385
Arctostaphylos rudis,meansup,32682.5797248725,643.929376308981,0.0197025259856991
Arctostaphylos rudis,meanthr,16179.2418967445,683.149750950209,0.042223841840678
Arctostaphylos rudis,meanw,37435.4438447612,903.309211287666,0.0241297849982371
Arctostaphylos rudis,median,8896.87433560851,805.112243856868,0.0904938311463518
Artemisia californica,mean,89529.0489920142,21874.6829615482,0.244330563184016
Artemisia californica,meansup,101340.615725483,22202.078756922,0.219083716809695
Artemisia californica,meanthr,71142.2718955432,18572.5228988257,0.261061706408467
Artemisia californica,meanw,118135.626364335,21745.0662622932,0.184068658469128
Artemisia californica,median,94613.1059169607,27219.0035588194,0.28768745402681
Artemisia rothrockii,mean,102715.782815498,330.382336904299,0.00321647100229713
Artemisia rothrockii,meansup,12443.6087973945,2138.81096071829,0.171880279711632
Artemisia rothrockii,meanthr,54240.2298099543,164.462126204894,0.00303210599920267
Artemisia rothrockii,meanw,117948.018928899,348.898949994228,0.0029580738461114
Artemisia rothrockii,median,60920.8800470197,2691.97614852366,0.0441880705998658
Asclepias eriocarpa,mean,174388.6699602,30216.1739049582,0.17326913446759
Asclepias eriocarpa,meansup,151767.558172886,15835.2676597434,0.104338949973121
Asclepias eriocarpa,meanthr,101317.067623316,19418.0650308094,0.191656405838781
Asclepias eriocarpa,meanw,180346.646050314,35079.8487763868,0.194513452535181
Asclepias eriocarpa,median,131491.717497878,75723.3117128058,0.575878946246388
Asclepias fascicularis,mean,161238.87802849,102508.036627277,0.635752604338791
Asclepias fascicularis,meansup,154536.155908345,77625.5567107371,0.502313237018635
Asclepias fascicularis,meanthr,125242.939431674,98233.1752330547,0.784341022965573
Asclepias fascicularis,meanw,183122.083396911,102763.33313369,0.561173896820264
Asclepias fascicularis,median,146564.459481221,110317.160518208,0.752686980927619
Calocedrus decurrens,mean,91993.628989677,68935.274776779,0.749348357422822
Calocedrus decurrens,meansup,98327.9682557451,66904.5578027689,0.680422457512334
Calocedrus decurrens,meanthr,79397.0126199405,65687.8655381232,0.827334220401458
Calocedrus decurrens,meanw,111040.144288795,67751.4495974406,0.610152751794266
Calocedrus decurrens,median,94631.0780295213,72862.8400245115,0.769967346264206
Calochortus albus,mean,80112.5279713934,37379.9445917296,0.466592997852686
Calochortus albus,meansup,79000.6521908103,32274.5301528671,0.408534983672216
Calochortus albus,meanthr,65178.0929367101,32323.8868922948,0.495931768419219
Calochortus albus,meanw,98964.9086887869,37098.4028661647,0.374864215586025
Calochortus albus,median,63725.1007536248,33878.4083729082,0.531633657259947
Ceanothus greggii,mean,62377.5800355958,7385.85544987951,0.118405610568168
Ceanothus greggii,meansup,40997.3850021656,6154.13540264399,0.150110437588127
Ceanothus greggii,meanthr,43917.1566020948,5704.92663368412,0.129902003569421
Ceanothus greggii,meanw,53492.736079102,8446.69672005747,0.157903620924661
