Table 1. Data Dictionary ,,,,,,,,,,,,,,,,,
variable name,variable,unit,,source/method,,,,,,,,,,,,,
species,,,,,,,,,,,,,,,,,
n_presences,number of presence records used for modeling (including records from presence-absence sampling and presence-only),,,,,,,,,,,,,,,,
n_absences,number of absence records used for modeling,,,,,,,,,,,,,,,,
n_presence_only,number of presence-only records included for modeling,,,,,,,,,,,,,,,,
AUC_mean,average AUC of consensus SDMs,n.a. ,,Area Under the Recever Operating Characteristic Curve (discrimination performance metric),,,,,,,,,,,,,
TSS_mean,average TSS of consensus SDMs,n.a. ,,,,,,,,,,,,,,,
Boyce_mean,average Boyce index of consensus SDMs,n.a. ,,,,,,,,,,,,,,,
range_size,geographic range size,km_,,area of the minimum convex polygon that contains all species occurrence records used for modeling,,,,,,,,,,,,,
niche_breadth,environmental niche breadth,n.a. ,,,,,,,,,,,,,,,
range_topo,,,,,,,,,,,,,,,,,
mean_topo,,,,,,,,,,,,,,,,,
range_elev,,,,,,,,,,,,,,,,,
mean_elev,,,,,,,,,,,,,,,,,
prev,prevalence (ratio of presence to absence records used in SDMs),n.a. ,,,,,,,,,,,,,,,
full_disp_hsc_SD,standard deviation in species-level habitat suitability change under full dispersal,,,,,,,,,,,,,,,,
no_disp_hsc_SD,standard deviation in species-level habitat suitability change under no dispersal,,,,,,,,,,,,,,,,
full_disp_hsc_mean,average species-level habitat suitability change under full dispersal,,,,,,,,,,,,,,,,
no_disp_hsc_mean,average species-level habitat suitability change under no dispersal,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table 2. Data,,,,,,,,,,,,,,,,,
species,n_presences,n_absences,n_presence_only,AUC_mean,TSS_mean,Boyce_mean,range_size,niche_breadth,range_topo,mean_topo,range_elev,mean_elev,prev,full_disp_hsc_SD,no_disp_hsc_SD,full_disp_hsc_mean,no_disp_hsc_mean
Abies magnifica,2056,6268,210,0.94,0.79,0.86,122318.86,5.87,0.47,0.55,617.95,2353.73,0.25,0.48,0.21,0.46,-0.15
Adenostoma sparsifolium,532,3348,114,0.87,0.74,0.86,31451.73,3.4,0.47,0.44,620.67,1088.23,0.14,4.28,0.19,5.81,-0.31
Aesculus californica,3816,11049,2934,0.96,0.82,0.97,206753.54,4.7,0.42,0.53,576.2,580.65,0.26,0.21,0.18,-0.24,-0.59
Arctostaphylos glandulosa,756,6319,377,0.91,0.71,0.85,205228.67,4.68,0.41,0.56,985.37,772.34,0.11,0.98,0.16,2.94,0.02
Arctostaphylos glauca,1409,11016,866,0.92,0.73,0.96,180863.08,4.12,0.38,0.51,636.25,944.01,0.11,0.95,0.18,0.11,-0.47
Arctostaphylos pringlei,106,2414,43,0.99,0.98,0.76,8770.04,2.43,0.42,0.55,517.27,1671.28,0.04,6.69,0.31,33.52,-0.28
Arctostaphylos rudis,66,1000,41,0.99,0.97,0.92,553.67,1.13,0.18,0.14,108.93,124.45,0.06,32.49,0.33,59.06,-0.12
Artemisia californica,3875,2048,1229,0.79,0.47,0.94,134537.69,4.19,0.43,0.41,512.04,313.82,0.65,1,0.14,3.17,-0.23
Artemisia rothrockii,31,4046,13,0.76,0.53,0.98,6505.64,5.91,0.68,0.38,568.57,2874.2,0.01,48.66,0.19,61.58,-0.78
Asclepias eriocarpa,431,11311,396,0.86,0.63,0.77,199277.24,4.46,0.47,0.32,1336.98,570.89,0.04,1.34,0.13,2.56,-0.05
Asclepias fascicularis,1042,11255,902,0.87,0.61,0.89,245339.9,5.49,0.5,0.29,965.68,366.51,0.08,0.24,0.09,0.14,-0.13
Calocedrus decurrens,4861,8846,854,0.87,0.6,0.98,283224.86,6.79,0.44,0.57,756.44,1413.39,0.35,0.14,0.07,0.11,-0.24
Calochortus albus,572,8037,456,0.87,0.65,0.74,168563.24,3.49,0.49,0.48,736.31,424.01,0.07,0.44,0.16,1.29,0.03
Ceanothus greggii,140,6640,28,0.99,0.96,0.66,38159.46,3.99,0.48,0.41,622.59,1333.14,0.02,0.27,0.09,0.03,-0.64
Ceanothus megacarpus,659,3157,123,0.87,0.63,0.92,40241.27,2.57,0.39,0.57,400.47,380.91,0.17,10.94,0.28,20.88,0.33
Ceanothus oliganthus,493,6306,205,0.88,0.67,0.87,111065.88,3.8,0.41,0.53,572.95,604.31,0.07,0.42,0.11,1.45,-0.28
Ceanothus tomentosus,165,6485,110,0.94,0.8,0.84,52500.31,4.6,0.45,0.48,705.65,449.02,0.02,2.53,0.11,9.76,-0.5
Ceanothus verrucosus,64,2431,36,0.95,0.87,0.96,1162.55,3.47,0.43,0.31,268.44,133.49,0.03,5.78,0.26,15.04,-0.35
Chamaebatia foliolosa,690,6739,216,0.94,0.8,0.95,37821.62,5.14,0.41,0.62,762.02,1424.68,0.09,0.53,0.16,2.16,-0.25
Croton setiger,1081,11293,1081,0.89,0.65,0.81,265630.42,5.17,0.48,0.26,837.25,315.76,0.09,0.21,0.1,0.14,-0.21
Delphinium hesperium,142,11323,134,0.92,0.77,0.96,138614.15,4.59,0.38,0.44,900.37,561.34,0.01,0.74,0.16,0.11,-0.7
Dichelostemma capitatum,2781,10463,1615,0.88,0.63,0.96,267530.1,4.98,0.5,0.41,881.1,451.76,0.21,0.1,0.07,-0.17,-0.31
Encelia californica,1190,2950,449,0.85,0.63,0.75,64991.31,3.92,0.38,0.41,316.6,230.55,0.29,1.81,0.18,5.63,0.17
Ericameria ericoides,173,7482,135,0.92,0.78,0.86,101614.86,3.38,0.46,0.22,370.18,140.75,0.02,2.05,0.35,3.84,-0.17
Erigeron petrophilus,83,8698,83,0.73,0.48,0.99,93556.21,7.51,0.33,0.68,1099.08,1108.66,0.01,236.29,0.49,387.02,-0.28
Eriodictyon trichocalyx,204,7481,144,0.92,0.78,0.72,51919.15,4.65,0.48,0.54,1216.41,1130.43,0.03,0.68,0.12,0.87,-0.14
Eriogonum fasciculatum,4249,9649,1568,0.93,0.76,0.95,199215.68,4.56,0.49,0.43,1012.79,577.91,0.31,0.2,0.07,0.16,-0.1
Frangula californica,956,11307,851,0.9,0.67,0.88,269936.01,5.65,0.53,0.43,1317.95,437.35,0.08,0.3,0.09,0.71,-0.04
